Time, Probe0_Pressure, Probe1_Pressure, Probe2_Pressure
1.240050e+00, 8.546161e-02, 1.896388e-01, 1.929783e-01
1.250090e+00, 8.593663e-02, 1.909750e-01, 1.910383e-01
1.260106e+00, 9.001261e-02, 1.908510e-01, 1.883474e-01
1.270103e+00, 1.020390e-01, 1.896030e-01, 1.853652e-01
1.280110e+00, 1.166765e-01, 1.882733e-01, 1.823253e-01
1.290110e+00, 1.247900e-01, 1.863140e-01, 1.790890e-01
1.300117e+00, 1.277627e-01, 1.851580e-01, 1.770505e-01
1.310143e+00, 1.296535e-01, 1.854177e-01, 1.731613e-01
1.320164e+00, 1.301507e-01, 1.859759e-01, 1.693890e-01
1.330185e+00, 1.311459e-01, 1.852844e-01, 1.702344e-01
1.340234e+00, 1.320178e-01, 1.828840e-01, 1.704804e-01
1.350018e+00, 1.340455e-01, 1.796171e-01, 1.855395e-01
1.360139e+00, 1.378612e-01, 1.758520e-01, 2.064390e-01
1.370289e+00, 1.400006e-01, 1.718753e-01, 2.045846e-01
1.380184e+00, 1.380675e-01, 1.677751e-01, 1.969895e-01
1.390172e+00, 1.357199e-01, 1.644656e-01, 1.933470e-01
1.400195e+00, 1.372660e-01, 1.627909e-01, 1.887841e-01
1.410229e+00, 1.378430e-01, 1.621754e-01, 1.831872e-01
1.420246e+00, 1.366408e-01, 1.609731e-01, 1.795734e-01
1.430253e+00, 1.363816e-01, 1.584231e-01, 1.779702e-01
1.440226e+00, 1.360880e-01, 1.552152e-01, 1.761800e-01
1.450171e+00, 1.358419e-01, 1.523510e-01, 1.734908e-01
1.460111e+00, 1.345171e-01, 1.499645e-01, 1.705391e-01
1.470086e+00, 1.327066e-01, 1.474815e-01, 1.676707e-01
1.480089e+00, 1.323184e-01, 1.445462e-01, 1.647103e-01
1.490134e+00, 1.322036e-01, 1.414282e-01, 1.618333e-01
1.500319e+00, 1.310688e-01, 1.386712e-01, 1.589547e-01
1.510321e+00, 1.305400e-01, 1.367229e-01, 1.553719e-01
1.520203e+00, 1.340430e-01, 1.353717e-01, 1.507149e-01
1.530168e+00, 1.426182e-01, 1.340899e-01, 1.457011e-01
1.540144e+00, 1.507494e-01, 1.325433e-01, 1.413880e-01
1.550148e+00, 1.552519e-01, 1.307452e-01, 1.381795e-01
1.560172e+00, 1.576838e-01, 1.288458e-01, 1.359649e-01
1.570209e+00, 1.595475e-01, 1.267545e-01, 1.344695e-01
1.580249e+00, 1.605375e-01, 1.242439e-01, 1.333597e-01
1.590287e+00, 1.613655e-01, 1.213854e-01, 1.323186e-01
1.600319e+00, 1.629535e-01, 1.184079e-01, 1.312561e-01
1.610320e+00, 1.657075e-01, 1.156585e-01, 1.303788e-01
1.620001e+00, 1.677470e-01, 1.134121e-01, 1.298326e-01
1.630013e+00, 1.689172e-01, 1.111427e-01, 1.292129e-01
1.640034e+00, 1.692124e-01, 1.091725e-01, 1.279323e-01
1.650066e+00, 1.692463e-01, 1.074580e-01, 1.260029e-01
